pred_date,target_date,split,n_positions,mean_conf_direction,gross_return_pct,transaction_cost_pct,net_return_pct,daily_net_profit,cumulative_net_profit,equity
2026-01-28,2026-01-29,test,25,0.835042,0.905284,0.15,0.755284,13682.1,825199.28,1825199.28
2026-01-29,2026-01-30,test,5,0.821523,-1.3014,0.15,-1.4514,-26490.94,798708.34,1798708.34
2026-01-30,2026-02-01,test,4,0.857624,0.289275,0.15,0.139275,2505.15,801213.49,1801213.49
2026-02-01,2026-02-02,test,4,0.845502,-0.50185,0.15,-0.65185,-11741.21,789472.28,1789472.28
2026-02-02,2026-02-03,test,12,0.827554,5.315192,0.15,5.165192,92429.67,881901.95,1881901.95
2026-02-03,2026-02-04,test,25,0.838667,0.132276,0.15,-0.017724,-333.55,881568.41,1881568.41
2026-02-04,2026-02-05,test,11,0.820968,0.204409,0.15,0.054409,1023.74,882592.15,1882592.15
2026-02-05,2026-02-06,test,5,0.835778,0.47872,0.15,0.32872,6188.46,888780.61,1888780.61
2026-02-06,2026-02-09,test,5,0.827888,0.83728,0.15,0.68728,12981.21,901761.82,1901761.82
2026-02-09,2026-02-10,test,21,0.820995,0.425833,0.15,0.275833,5245.69,907007.51,1907007.51
2026-02-10,2026-02-11,test,13,0.820455,0.439362,0.15,0.289362,5518.15,912525.66,1912525.66
2026-02-11,2026-02-12,test,8,0.818942,0.106212,0.15,-0.043787,-837.45,911688.21,1911688.21
2026-02-12,2026-02-13,test,5,0.826954,-0.54,0.15,-0.69,-13190.65,898497.56,1898497.56
2026-02-13,2026-02-16,test,1,0.829487,-0.4425,0.15,-0.5925,-11248.6,887248.96,1887248.96
2026-02-16,2026-02-17,test,8,0.8172,-0.008325,0.15,-0.158325,-2987.99,884260.98,1884260.98
2026-02-17,2026-02-18,test,4,0.832229,0.3631,0.15,0.2131,4015.36,888276.34,1888276.34
2026-02-18,2026-02-19,test,7,0.833218,0.115857,0.15,-0.034143,-644.71,887631.63,1887631.63
2026-02-19,2026-02-20,test,0,0.0,0.0,0.0,0.0,0.0,887631.63,1887631.63
2026-02-20,2026-02-23,test,0,0.0,0.0,0.0,0.0,0.0,887631.63,1887631.63
2026-02-23,2026-02-24,test,14,0.830165,-0.174343,0.15,-0.324343,-6122.4,881509.23,1881509.23
2026-02-24,2026-02-25,test,24,0.827338,-0.084362,0.15,-0.234362,-4409.55,877099.68,1877099.68
2026-02-25,2026-02-26,test,10,0.818231,0.24784,0.15,0.09784,1836.55,878936.23,1878936.23
2026-02-26,2026-02-27,test,2,0.830851,-0.04455,0.15,-0.19455,-3655.47,875280.76,1875280.76
2026-02-27,2026-03-02,test,2,0.834159,-2.22315,0.15,-2.37315,-44503.23,830777.53,1830777.53
2026-03-02,2026-03-04,test,5,0.838868,-2.0084,0.15,-2.1584,-39515.5,791262.03,1791262.03
2026-03-04,2026-03-05,test,4,0.820906,0.479125,0.15,0.329125,5895.49,797157.52,1797157.52
2026-03-05,2026-03-06,test,3,0.825825,0.244967,0.15,0.094967,1706.7,798864.22,1798864.22
2026-03-06,2026-03-09,test,1,0.864494,-1.6899,0.15,-1.8399,-33097.3,765766.92,1765766.92
2026-03-09,2026-03-10,test,11,0.824314,1.711218,0.15,1.561218,27567.47,793334.39,1793334.39
2026-03-10,2026-03-11,test,25,0.828167,0.477852,0.15,0.327852,5879.48,799213.88,1799213.88
2026-03-11,2026-03-12,test,0,0.0,0.0,0.0,0.0,0.0,799213.88,1799213.88
2026-03-12,2026-03-13,test,5,0.82984,-0.2541,0.15,-0.4041,-7270.62,791943.25,1791943.25
2026-03-13,2026-03-16,test,3,0.847962,-0.295767,0.15,-0.445767,-7987.89,783955.37,1783955.37
2026-03-16,2026-03-17,test,2,0.873014,0.91385,0.15,0.76385,13626.74,797582.11,1797582.11
2026-03-17,2026-03-18,test,6,0.819623,0.345533,0.15,0.195533,3514.87,801096.98,1801096.98
2026-03-18,2026-03-19,test,6,0.835008,-1.024267,0.15,-1.174267,-21149.68,779947.3,1779947.3
2026-03-19,2026-03-20,test,12,0.821171,1.190042,0.15,1.040042,18512.19,798459.5,1798459.5
2026-03-20,2026-03-23,test,4,0.836055,-1.753975,0.15,-1.903975,-34242.22,764217.28,1764217.28
2026-03-23,2026-03-24,test,4,0.827294,2.60625,0.15,2.45625,43333.59,807550.86,1807550.86
2026-03-24,2026-03-25,test,2,0.846755,1.8186,0.15,1.6686,30160.79,837711.66,1837711.66
2026-03-25,2026-03-27,test,5,0.824745,-0.39506,0.15,-0.54506,-10016.63,827695.03,1827695.03
2026-03-27,2026-03-30,test,1,0.84093,-1.3498,0.15,-1.4998,-27411.77,800283.26,1800283.26
2026-03-30,2026-04-01,test,5,0.82728,2.85356,0.15,2.70356,48671.74,848954.99,1848954.99
2026-04-01,2026-04-02,test,22,0.827967,-1.469973,0.15,-1.619973,-29952.57,819002.43,1819002.43
2026-04-02,2026-04-06,test,2,0.827775,0.11655,0.15,-0.03345,-608.46,818393.97,1818393.97
2026-04-06,2026-04-07,test,13,0.819361,-0.8498,0.15,-0.9998,-18180.3,800213.67,1800213.67
2026-04-07,2026-04-08,test,8,0.821175,2.7842,0.15,2.6342,47421.23,847634.9,1847634.9
2026-04-08,2026-04-09,test,25,0.873562,0.119048,0.15,-0.030952,-571.88,847063.02,1847063.02
2026-04-09,2026-04-10,test,10,0.827041,0.98712,0.15,0.83712,15462.13,862525.15,1862525.15
2026-04-10,2026-04-13,test,14,0.820156,-1.505357,0.15,-1.655357,-30831.44,831693.71,1831693.71
2026-04-13,2026-04-15,test,3,0.828099,1.7269,0.15,1.5769,28883.98,860577.69,1860577.69
2026-04-15,2026-04-16,test,14,0.822547,0.863736,0.15,0.713736,13279.61,873857.29,1873857.29
2026-04-16,2026-04-17,test,18,0.822643,0.555722,0.15,0.405722,7602.66,881459.95,1881459.95
2026-04-17,2026-04-20,test,14,0.831502,0.5985,0.15,0.4485,8438.35,889898.3,1889898.3
2026-04-20,2026-04-21,test,5,0.810241,0.37154,0.15,0.22154,4186.88,894085.18,1894085.18
2026-04-21,2026-04-22,test,13,0.82222,0.053077,0.15,-0.096923,-1835.81,892249.37,1892249.37
2026-04-22,2026-04-23,test,22,0.821295,0.206391,0.15,0.056391,1067.06,893316.43,1893316.43
2026-04-23,2026-04-24,test,23,0.821762,0.206152,0.15,0.056152,1063.14,894379.57,1894379.57
2026-04-24,2026-04-27,test,3,0.834683,0.851733,0.15,0.701733,13293.49,907673.06,1907673.06
2026-04-27,2026-04-28,test,13,0.82971,0.261854,0.15,0.111854,2133.81,909806.86,1909806.86
2026-04-28,2026-04-29,test,6,0.855924,1.509167,0.15,1.359167,25957.46,935764.32,1935764.32
2026-04-29,2026-04-30,test,10,0.82083,-0.56128,0.15,-0.71128,-13768.7,921995.62,1921995.62
2026-04-30,2026-05-04,test,16,0.833632,1.223006,0.15,1.073006,20623.13,942618.75,1942618.75
2026-05-04,2026-05-05,test,25,0.835015,0.143652,0.15,-0.006348,-123.32,942495.43,1942495.43
2026-05-05,2026-05-06,test,21,0.822072,1.248057,0.15,1.098057,21329.71,963825.14,1963825.14
2026-05-06,2026-05-07,test,18,0.815951,0.62125,0.15,0.47125,9254.53,973079.67,1973079.67
2026-05-07,2026-05-08,test,25,0.819633,0.266016,0.15,0.116016,2289.09,975368.76,1975368.76
